vehicle_id,day,failure_mode,dtc_code,degradation_factor,days_to_dtc,label_binary,label_severity
LABELED-0001,0,throttle_position_sensor,P0122,0.0,,0,healthy
LABELED-0001,1,throttle_position_sensor,P0122,0.0,,0,healthy
LABELED-0001,2,throttle_position_sensor,P0122,0.0,,0,healthy
LABELED-0001,3,throttle_position_sensor,P0122,0.0,,0,healthy
LABELED-0001,4,throttle_position_sensor,P0122,0.0,,0,healthy
LABELED-0001,5,throttle_position_sensor,P0122,0.0,,0,healthy
LABELED-0001,6,throttle_position_sensor,P0122,0.0,,0,healthy
LABELED-0001,7,throttle_position_sensor,P0122,0.0,,0,healthy
LABELED-0001,8,throttle_position_sensor,P0122,0.0,,0,healthy
LABELED-0001,9,throttle_position_sensor,P0122,0.0,,0,healthy
LABELED-0001,10,throttle_position_sensor,P0122,0.0,,0,healthy
LABELED-0001,11,throttle_position_sensor,P0122,0.0,,0,healthy
LABELED-0001,12,throttle_position_sensor,P0122,0.0,,0,healthy
LABELED-0001,13,throttle_position_sensor,P0122,0.0,,0,healthy
LABELED-0001,14,throttle_position_sensor,P0122,0.00266,23,0,healthy
LABELED-0001,15,throttle_position_sensor,P0122,0.00635,22,0,healthy
LABELED-0001,16,throttle_position_sensor,P0122,0.01145,21,0,healthy
LABELED-0001,17,throttle_position_sensor,P0122,0.01848,20,0,healthy
LABELED-0001,18,throttle_position_sensor,P0122,0.02813,19,0,healthy
LABELED-0001,19,throttle_position_sensor,P0122,0.04129,18,0,healthy
LABELED-0001,20,throttle_position_sensor,P0122,0.05907,17,0,healthy
LABELED-0001,21,throttle_position_sensor,P0122,0.08282,16,0,healthy
LABELED-0001,22,throttle_position_sensor,P0122,0.11404,15,0,healthy
LABELED-0001,23,throttle_position_sensor,P0122,0.15424,14,0,healthy
LABELED-0001,24,throttle_position_sensor,P0122,0.20466,13,0,healthy
LABELED-0001,25,throttle_position_sensor,P0122,0.26581,12,0,healthy
LABELED-0001,26,throttle_position_sensor,P0122,0.33706,11,0,healthy
LABELED-0001,27,throttle_position_sensor,P0122,0.41631,10,0,healthy
LABELED-0001,28,throttle_position_sensor,P0122,0.5,9,0,healthy
LABELED-0001,29,throttle_position_sensor,P0122,0.58369,8,0,healthy
LABELED-0001,30,throttle_position_sensor,P0122,0.66294,7,1,early
LABELED-0001,31,throttle_position_sensor,P0122,0.73419,6,1,early
LABELED-0001,32,throttle_position_sensor,P0122,0.79534,5,1,early
LABELED-0001,33,throttle_position_sensor,P0122,0.84576,4,1,late
LABELED-0001,34,throttle_position_sensor,P0122,0.88596,3,1,late
LABELED-0001,35,throttle_position_sensor,P0122,0.91718,2,1,late
LABELED-0001,36,throttle_position_sensor,P0122,0.94093,1,1,late
LABELED-0001,37,throttle_position_sensor,P0122,0.95871,,1,imminent
LABELED-0001,38,throttle_position_sensor,P0122,0.97187,,1,imminent
LABELED-0001,39,throttle_position_sensor,P0122,0.98152,,1,imminent
LABELED-0001,40,throttle_position_sensor,P0122,0.98855,,1,imminent
LABELED-0001,41,throttle_position_sensor,P0122,0.99365,,1,imminent
LABELED-0001,42,throttle_position_sensor,P0122,0.99734,,1,imminent
LABELED-0001,43,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0001,44,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0001,45,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0001,46,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0001,47,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0001,48,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0001,49,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0001,50,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0001,51,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0001,52,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0001,53,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0001,54,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0001,55,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0001,56,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0001,57,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0001,58,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0001,59,throttle_position_sensor,P0122,1.0,,1,imminent
LABELED-0002,0,spark_plugs,P0300,0.0,,0,healthy
LABELED-0002,1,spark_plugs,P0300,0.0,,0,healthy
LABELED-0002,2,spark_plugs,P0300,0.0,,0,healthy
LABELED-0002,3,spark_plugs,P0300,0.0,,0,healthy
LABELED-0002,4,spark_plugs,P0300,0.0,,0,healthy
LABELED-0002,5,spark_plugs,P0300,0.0,,0,healthy
